x3everdrop,stu_id,female,black,hisp,asian,other,age,agesq,g11ses,g9ses,g11math,g9math,hs_par,lfaminc0811,twoparguar,singlepar,lesshalf,g9nonnative,g9partalkclg,g9schtalkclg,g11catholic,g11otherprivate,g9catholic,g9otherprivate,g11city,g11suburb,g11town,g11northeast,g11midwest,g11south,g9city,g9suburb,g9town,g9northeast,g9midwest,g9south,m_s2controlsborn_yes,s2mcontrolsborn_yes,m_s2controlsstoptrying_yes,s2mcontrolsstoptrying_yes,m_s2controlschallenge_yes,s2mcontrolschallenge_yes,repeatg9,high_sci_nosci,high_sci_gensci,high_sci_spesci,high_sci_advsci,high_sci_apib,exp9ed_dontknow,exp9ed_hs,exp9ed_aa,exp9ed_ba,exp9ed_grad,exp11ed_hsbroad,exp11ed_aa,exp11ed_ba,exp11ed_grad,req_ed_occ09_notknow,reqed_occ09_hs,reqed_occ09_aa,reqed_occ09_ba,reqed_occ09_grad,req_ed_occ12_notknow,reqed_occ12_hs,reqed_occ12_aa,reqed_occ12_ba,reqed_occ12_grad
0,16565,1,0,0,1,0,14,196,1.277300000190735,1.22599995136261,73.22530364990234,72.02660369873047,1,11.457397,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,31075,1,0,0,0,0,15,225,.603600025177002,-.2090999931097031,54.49190139770508,49.2958984375,1,10.398045,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,14794,0,0,0,0,0,14,196,-.4429999887943268,-.1629000008106232,34.26079940795898,44.49089813232422,0,10.40048,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,19285,1,0,0,0,0,14,196,.6883999705314636,2.151599884033203,60.13190078735352,48.47549819946289,1,9.2407799,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,12555,0,0,0,0,0,15,225,-.7932999730110168,-.6636999845504761,46.61980056762695,42.23360061645508,0,9.1849422,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,19841,0,0,0,0,0,15,225,1.146600008010864,.9646000266075134,52.15390014648438,55.24670028686523,1,11.459087,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,34881,1,0,0,0,0,14,196,-.3429999947547913,-.363099992275238,60.6327018737793,47.0702018737793,1,9.1767044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,21262,1,1,0,0,0,14,196,.8202000260353088,.6753000020980835,65.91230010986328,63.72660064697266,1,10.611789,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,23023,1,0,0,0,0,15,225,1.032600045204163,1.480100035667419,67.50070190429688,65.91500091552734,1,10.786142,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0,19976,0,0,1,0,0,15,225,-.8651000261306763,-.8640000224113464,40.16270065307617,41.52830123901367,1,1.6787375,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,17051,0,0,0,0,0,15,225,-.4399999976158142,-.1844999939203262,50.08599853515625,48.12060165405273,0,9.1931124,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,30832,1,0,0,0,0,15,225,.3792999982833862,.365200012922287,52.44919967651367,60.04999923706055,1,10.40048,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,13229,0,0,0,0,0,14,196,.0020000000949949,.2028000056743622,54.60639953613281,50.28179931640625,1,5.20749,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,15478,0,0,0,1,0,14,196,-1.142500042915344,-1.520900011062622,65.21219635009766,57.56900024414063,0,9.1663141,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1,22915,1,0,0,0,0,14,196,-.667900025844574,-.5999000072479248,33.45119857788086,43.49810028076172,0,9.1767044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,24981,1,1,0,0,0,14,196,1.373600006103516,1.481199979782104,64.87470245361328,65.25029754638672,1,11.457397,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,12642,0,0,0,0,1,14,196,.0741999968886375,.0007999999797903,49.20859909057617,60.02529907226563,1,11.963593,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,19219,1,0,1,0,0,14,196,-1.436699986457825,-.9797999858856201,54.35609817504883,43.37699890136719,0,4.6313715,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,23904,0,0,1,0,0,15,225,.4045999944210052,-.0996000021696091,58.58840179443359,53.01910018920898,1,10.395602,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,27295,1,0,1,0,0,14,196,-.3016000092029572,-.6097999811172485,56.00030136108398,51.19969940185547,1,11.083234,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
0,24884,1,0,0,0,0,15,225,.1216999962925911,-.3553999960422516,48.71319961547852,49.57360076904297,1,9.7598848,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,27334,1,1,0,0,0,14,196,-1.54610002040863,-.0696000009775162,41.77809906005859,41.03900146484375,0,1.6787375,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,22115,1,0,1,0,0,14,196,1.550899982452393,.8137000203132629,49.28290176391602,59.63140106201172,1,10.601397,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,17903,0,0,1,0,0,15,225,-1.407899975776672,-.9991999864578247,51.26380157470703,51.4546012878418,0,9.1767044,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,20849,1,0,0,0,1,15,225,-.4013000130653381,-.4140999913215637,36.34489822387695,32.14670181274414,0,10.129029,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
